order_item_id,order_id,product_id,quantity,list_price_inr,gross_list_value_inr,discount_amount_inr,item_revenue_inr,unit_cogs_inr,cogs_inr,packaging_cost_inr
OI-00039,ORD-00018,P032,1,549,549,54.9,494.1,348.2,348.2,31
OI-00040,ORD-00019,P033,1,2299,2299,264.38,2034.62,1356.41,1356.41,31
OI-00041,ORD-00019,P040,1,1199,1199,59.95,1139.05,554.24,554.24,19
OI-00042,ORD-00020,P058,2,649,1298,71.39,1226.61,345.92,691.84,32
OI-00043,ORD-00020,P047,1,349,349,15.71,333.29,157.57,157.57,19
OI-00044,ORD-00021,P058,1,649,649,22.72,626.28,345.92,345.92,16
OI-00045,ORD-00021,P035,2,1299,2598,233.82,2364.18,804.73,1609.46,62
OI-00046,ORD-00022,P022,1,699,699,94.37,604.63,343.91,343.91,24
OI-00047,ORD-00022,P033,1,2299,2299,287.38,2011.62,1356.41,1356.41,31
OI-00048,ORD-00023,P030,1,849,849,84.9,764.1,513.43,513.43,31
OI-00049,ORD-00023,P024,1,999,999,59.94,939.06,515.48,515.48,24
OI-00050,ORD-00024,P001,1,3499,3499,384.89,3114.11,2904.17,2904.17,42
OI-00051,ORD-00024,P051,1,449,449,6.74,442.26,245.15,245.15,16
OI-00052,ORD-00024,P011,1,1299,1299,103.92,1195.08,982.04,982.04,42
OI-00053,ORD-00025,P005,1,1299,1299,136.4,1162.6,1109.35,1109.35,42
OI-00054,ORD-00025,P009,1,3499,3499,472.37,3026.63,2519.28,2519.28,42
OI-00055,ORD-00026,P046,1,599,599,32.95,566.05,264.01,264.01,19
OI-00056,ORD-00026,P015,1,1399,1399,153.89,1245.11,705.1,705.1,24
OI-00057,ORD-00027,P018,1,1899,1899,208.89,1690.11,934.31,934.31,24
OI-00058,ORD-00027,P052,1,199,199,2.99,196.01,111.24,111.24,16
OI-00059,ORD-00028,P041,1,899,899,53.94,845.06,386.57,386.57,19
OI-00060,ORD-00028,P008,1,3499,3499,297.42,3201.58,2708.23,2708.23,42
OI-00061,ORD-00029,P010,1,2199,2199,197.91,2001.09,1622.86,1622.86,42
OI-00062,ORD-00029,P049,2,649,1298,58.41,1239.59,337.48,674.96,32
OI-00063,ORD-00030,P053,1,299,299,4.49,294.51,155.48,155.48,16
OI-00064,ORD-00030,P020,1,1899,1899,189.9,1709.1,979.88,979.88,24
OI-00065,ORD-00030,P005,1,1299,1299,129.9,1169.1,1109.35,1109.35,42
OI-00066,ORD-00031,P016,2,1399,2798,265.81,2532.19,721.88,1443.76,48
OI-00067,ORD-00031,P036,1,1299,1299,136.39,1162.61,823.89,823.89,31
OI-00068,ORD-00032,P020,1,1899,1899,151.92,1747.08,979.88,979.88,24
OI-00069,ORD-00032,P054,1,299,299,2.99,296.01,159.37,159.37,16
OI-00070,ORD-00033,P026,1,549,549,54.9,494.1,332.01,332.01,31
OI-00071,ORD-00033,P039,1,1199,1199,41.96,1157.04,541.35,541.35,19
OI-00072,ORD-00034,P015,1,1399,1399,188.87,1210.13,705.1,705.1,24
OI-00073,ORD-00034,P028,1,1299,1299,149.39,1149.61,823.89,823.89,31
OI-00074,ORD-00035,P037,1,349,349,22.69,326.31,150.07,150.07,19
OI-00075,ORD-00035,P018,1,1899,1899,132.93,1766.07,934.31,934.31,24
OI-00076,ORD-00036,P044,1,1199,1199,89.92,1109.08,554.24,554.24,19
OI-00077,ORD-00036,P052,1,199,199,4.98,194.02,111.24,111.24,16
OI-00078,ORD-00036,P014,1,1899,1899,170.91,1728.09,934.31,934.31,24
OI-00079,ORD-00037,P013,1,999,999,124.88,874.12,479.52,479.52,24
OI-00080,ORD-00037,P050,1,649,649,51.92,597.08,345.92,345.92,16
OI-00081,ORD-00038,P055,2,449,898,49.39,848.61,245.15,490.3,32
OI-00082,ORD-00038,P038,1,599,599,44.92,554.08,264.01,264.01,19
OI-00083,ORD-00039,P041,1,899,899,40.45,858.55,386.57,386.57,19
OI-00084,ORD-00039,P026,1,549,549,38.43,510.57,332.01,332.01,31
OI-00085,ORD-00040,P015,2,1399,2798,349.75,2448.25,705.1,1410.2,48
OI-00086,ORD-00040,P009,1,3499,3499,297.42,3201.58,2519.28,2519.28,42
OI-00087,ORD-00041,P004,2,4999,9998,1099.78,8898.22,4239.15,8478.3,84
OI-00088,ORD-00041,P037,1,349,349,8.72,340.28,150.07,150.07,19
OI-00089,ORD-00042,P020,1,1899,1899,218.39,1680.61,979.88,979.88,24
OI-00090,ORD-00042,P028,1,1299,1299,110.42,1188.58,823.89,823.89,31
OI-00091,ORD-00042,P020,2,1899,3798,322.83,3475.17,979.88,1959.76,48
OI-00092,ORD-00043,P027,1,849,849,76.41,772.59,525.96,525.96,31
OI-00093,ORD-00043,P031,2,2299,4598,321.86,4276.14,1424.23,2848.46,62
OI-00094,ORD-00044,P026,1,549,549,49.41,499.59,332.01,332.01,31
OI-00095,ORD-00044,P016,2,1399,2798,195.86,2602.14,721.88,1443.76,48
OI-00096,ORD-00045,P006,1,3499,3499,402.38,3096.62,2582.26,2582.26,42
OI-00097,ORD-00045,P007,1,2199,2199,296.87,1902.13,1662.44,1662.44,42
OI-00098,ORD-00046,P030,1,849,849,42.45,806.55,513.43,513.43,31
OI-00099,ORD-00046,P015,2,1399,2798,223.84,2574.16,705.1,1410.2,48
OI-00100,ORD-00047,P008,1,3499,3499,314.91,3184.09,2708.23,2708.23,42
OI-00101,ORD-00047,P029,1,849,849,50.94,798.06,500.91,500.91,31
OI-00102,ORD-00048,P025,1,2299,2299,241.39,2057.61,1356.41,1356.41,31
OI-00103,ORD-00048,P035,2,1299,2598,246.81,2351.19,804.73,1609.46,62
OI-00104,ORD-00048,P003,1,4999,4999,524.9,4474.1,4209.16,4209.16,42
OI-00105,ORD-00049,P045,1,599,599,32.95,566.05,257.57,257.57,19
OI-00106,ORD-00049,P003,1,4999,4999,499.9,4499.1,4209.16,4209.16,42
OI-00107,ORD-00050,P032,1,549,549,32.94,516.06,348.2,348.2,31
OI-00108,ORD-00050,P044,1,1199,1199,29.97,1169.03,554.24,554.24,19
OI-00109,ORD-00051,P019,1,1399,1399,160.89,1238.11,705.1,705.1,24
OI-00110,ORD-00051,P059,1,449,449,26.94,422.06,245.15,245.15,16
OI-00111,ORD-00052,P019,1,1399,1399,153.89,1245.11,705.1,705.1,24
OI-00112,ORD-00052,P054,2,299,598,20.93,577.07,159.37,318.74,32
OI-00113,ORD-00053,P007,1,2199,2199,131.94,2067.06,1662.44,1662.44,42
OI-00114,ORD-00053,P007,1,2199,2199,219.9,1979.1,1662.44,1662.44,42
OI-00115,ORD-00054,P044,2,1199,2398,143.88,2254.12,554.24,1108.48,38
OI-00116,ORD-00054,P003,2,4999,9998,1049.79,8948.21,4209.16,8418.32,84
OI-00117,ORD-00054,P044,1,1199,1199,119.9,1079.1,554.24,554.24,19
OI-00118,ORD-00055,P045,2,599,1198,53.91,1144.09,257.57,515.14,38
OI-00119,ORD-00055,P056,1,449,449,20.2,428.8,250.99,250.99,16
OI-00120,ORD-00056,P007,1,2199,2199,131.94,2067.06,1662.44,1662.44,42
OI-00121,ORD-00056,P021,1,999,999,69.93,929.07,479.52,479.52,24
OI-00122,ORD-00057,P028,1,1299,1299,97.42,1201.58,823.89,823.89,31
OI-00123,ORD-00057,P054,1,299,299,17.94,281.06,159.37,159.37,16
OI-00124,ORD-00058,P048,1,1199,1199,77.94,1121.06,554.24,554.24,19
OI-00125,ORD-00058,P054,1,299,299,2.99,296.01,159.37,159.37,16
OI-00126,ORD-00059,P011,1,1299,1299,116.91,1182.09,982.04,982.04,42
OI-00127,ORD-00059,P033,2,2299,4598,321.86,4276.14,1356.41,2712.82,62
OI-00128,ORD-00060,P002,2,2199,4398,505.77,3892.23,1838.36,3676.72,84
OI-00129,ORD-00060,P044,1,1199,1199,83.93,1115.07,554.24,554.24,19
OI-00130,ORD-00060,P025,2,2299,4598,344.85,4253.15,1356.41,2712.82,62
OI-00131,ORD-00061,P048,1,1199,1199,29.97,1169.03,554.24,554.24,19
OI-00132,ORD-00061,P046,1,599,599,44.92,554.08,264.01,264.01,19
OI-00133,ORD-00062,P055,1,449,449,4.49,444.51,245.15,245.15,16
OI-00134,ORD-00062,P021,1,999,999,89.91,909.09,479.52,479.52,24
OI-00135,ORD-00063,P030,2,849,1698,178.29,1519.71,513.43,1026.86,62
OI-00136,ORD-00063,P014,1,1899,1899,180.41,1718.59,934.31,934.31,24
OI-00137,ORD-00064,P041,2,899,1798,98.89,1699.11,386.57,773.14,38
OI-00138,ORD-00064,P038,1,599,599,20.96,578.04,264.01,264.01,19
OI-00139,ORD-00065,P047,2,349,698,31.41,666.59,157.57,315.14,38
OI-00140,ORD-00065,P025,1,2299,2299,137.94,2161.06,1356.41,1356.41,31
OI-00141,ORD-00066,P021,1,999,999,94.91,904.09,479.52,479.52,24
OI-00142,ORD-00066,P057,2,649,1298,51.92,1246.08,337.48,674.96,32
OI-00143,ORD-00066,P017,1,1899,1899,237.38,1661.62,911.52,911.52,24
OI-00144,ORD-00067,P002,1,2199,2199,241.89,1957.11,1838.36,1838.36,42
OI-00145,ORD-00067,P047,1,349,349,8.72,340.28,157.57,157.57,19
OI-00146,ORD-00068,P034,1,849,849,84.9,764.1,513.43,513.43,31
OI-00147,ORD-00068,P008,1,3499,3499,244.93,3254.07,2708.23,2708.23,42
OI-00148,ORD-00069,P019,1,1399,1399,118.92,1280.08,705.1,705.1,24
OI-00149,ORD-00069,P003,1,4999,4999,574.88,4424.12,4209.16,4209.16,42
OI-00150,ORD-00070,P023,2,999,1998,159.84,1838.16,503.5,1007,48
OI-00151,ORD-00070,P019,1,1399,1399,97.93,1301.07,705.1,705.1,24
OI-00152,ORD-00071,P025,1,2299,2299,137.94,2161.06,1356.41,1356.41,31
OI-00153,ORD-00071,P003,1,4999,4999,499.9,4499.1,4209.16,4209.16,42
OI-00154,ORD-00072,P004,1,4999,4999,674.87,4324.13,4239.15,4239.15,42
OI-00155,ORD-00072,P005,1,1299,1299,149.39,1149.61,1109.35,1109.35,42
OI-00156,ORD-00072,P018,1,1899,1899,161.42,1737.58,934.31,934.31,24
OI-00157,ORD-00073,P040,1,1199,1199,53.95,1145.05,554.24,554.24,19
OI-00158,ORD-00073,P024,1,999,999,59.94,939.06,515.48,515.48,24
OI-00159,ORD-00074,P028,2,1299,2598,181.86,2416.14,823.89,1647.78,62
OI-00160,ORD-00074,P023,1,999,999,89.91,909.09,503.5,503.5,24
OI-00161,ORD-00075,P038,1,599,599,41.93,557.07,264.01,264.01,19
OI-00162,ORD-00075,P019,1,1399,1399,146.9,1252.1,705.1,705.1,24
OI-00163,ORD-00076,P014,1,1899,1899,151.92,1747.08,934.31,934.31,24
OI-00164,ORD-00076,P058,1,649,649,22.72,626.28,345.92,345.92,16
OI-00165,ORD-00077,P003,2,4999,9998,699.86,9298.14,4209.16,8418.32,84
OI-00166,ORD-00077,P055,1,449,449,24.7,424.3,245.15,245.15,16
OI-00167,ORD-00078,P005,2,1299,2598,220.83,2377.17,1109.35,2218.7,84
OI-00168,ORD-00078,P027,2,849,1698,178.29,1519.71,525.96,1051.92,62
OI-00169,ORD-00078,P001,1,3499,3499,472.37,3026.63,2904.17,2904.17,42
OI-00170,ORD-00079,P028,2,1299,2598,233.82,2364.18,823.89,1647.78,62
OI-00171,ORD-00079,P059,1,449,449,11.23,437.77,245.15,245.15,16
OI-00172,ORD-00080,P042,2,899,1798,62.93,1735.07,396.23,792.46,38
OI-00173,ORD-00080,P059,1,449,449,11.23,437.77,245.15,245.15,16
OI-00174,ORD-00081,P015,1,1399,1399,188.87,1210.13,705.1,705.1,24
OI-00175,ORD-00081,P037,2,349,698,48.86,649.14,150.07,300.14,38
OI-00176,ORD-00082,P033,1,2299,2299,229.9,2069.1,1356.41,1356.41,31
OI-00177,ORD-00082,P037,1,349,349,15.71,333.29,150.07,150.07,19
OI-00178,ORD-00083,P004,1,4999,4999,574.88,4424.12,4239.15,4239.15,42
OI-00179,ORD-00083,P002,1,2199,2199,296.87,1902.13,1838.36,1838.36,42
OI-00180,ORD-00084,P029,1,849,849,84.9,764.1,500.91,500.91,31
OI-00181,ORD-00084,P056,1,449,449,11.23,437.77,250.99,250.99,16
OI-00182,ORD-00084,P018,2,1899,3798,341.82,3456.18,934.31,1868.62,48
OI-00183,ORD-00085,P025,1,2299,2299,137.94,2161.06,1356.41,1356.41,31
OI-00184,ORD-00085,P029,1,849,849,59.43,789.57,500.91,500.91,31
OI-00185,ORD-00086,P004,1,4999,4999,574.88,4424.12,4239.15,4239.15,42
OI-00186,ORD-00086,P021,1,999,999,94.91,904.09,479.52,479.52,24
OI-00187,ORD-00087,P038,1,599,599,38.94,560.06,264.01,264.01,19
OI-00188,ORD-00087,P024,1,999,999,99.9,899.1,515.48,515.48,24
OI-00189,ORD-00088,P003,1,4999,4999,449.91,4549.09,4209.16,4209.16,42
OI-00190,ORD-00088,P009,1,3499,3499,314.91,3184.09,2519.28,2519.28,42
OI-00191,ORD-00089,P022,1,699,699,59.42,639.58,343.91,343.91,24
OI-00192,ORD-00089,P005,1,1299,1299,175.37,1123.63,1109.35,1109.35,42
OI-00193,ORD-00090,P017,1,1899,1899,189.9,1709.1,911.52,911.52,24
OI-00194,ORD-00090,P050,1,649,649,9.74,639.26,345.92,345.92,16
OI-00195,ORD-00090,P023,1,999,999,99.9,899.1,503.5,503.5,24
OI-00196,ORD-00091,P017,1,1899,1899,208.89,1690.11,911.52,911.52,24
OI-00197,ORD-00091,P031,1,2299,2299,206.91,2092.09,1424.23,1424.23,31
OI-00198,ORD-00092,P032,1,549,549,46.67,502.33,348.2,348.2,31
OI-00199,ORD-00092,P023,1,999,999,114.89,884.11,503.5,503.5,24
OI-00200,ORD-00093,P043,1,1199,1199,53.95,1145.05,541.35,541.35,19
OI-00201,ORD-00093,P047,2,349,698,38.39,659.61,157.57,315.14,38
OI-00202,ORD-00094,P002,1,2199,2199,197.91,2001.09,1838.36,1838.36,42
OI-00203,ORD-00094,P052,1,199,199,8.96,190.04,111.24,111.24,16
OI-00204,ORD-00095,P045,2,599,1198,71.88,1126.12,257.57,515.14,38
OI-00205,ORD-00095,P034,1,849,849,63.67,785.33,513.43,513.43,31
OI-00206,ORD-00096,P015,1,1399,1399,139.9,1259.1,705.1,705.1,24
OI-00207,ORD-00096,P010,1,2199,2199,175.92,2023.08,1622.86,1622.86,42
OI-00208,ORD-00096,P003,1,4999,4999,449.91,4549.09,4209.16,4209.16,42
OI-00209,ORD-00097,P050,1,649,649,29.2,619.8,345.92,345.92,16
OI-00210,ORD-00097,P039,1,1199,1199,89.92,1109.08,541.35,541.35,19
OI-00211,ORD-00098,P014,1,1899,1899,256.37,1642.63,934.31,934.31,24
OI-00212,ORD-00098,P005,1,1299,1299,110.42,1188.58,1109.35,1109.35,42
OI-00213,ORD-00099,P017,1,1899,1899,170.91,1728.09,911.52,911.52,24
OI-00214,ORD-00099,P052,1,199,199,2.99,196.01,111.24,111.24,16
OI-00215,ORD-00100,P012,1,1299,1299,116.91,1182.09,1005.43,1005.43,42
OI-00216,ORD-00100,P018,1,1899,1899,132.93,1766.07,934.31,934.31,24
OI-00217,ORD-00101,P042,1,899,899,62.93,836.07,396.23,396.23,19
OI-00218,ORD-00101,P029,1,849,849,80.66,768.34,500.91,500.91,31
OI-00219,ORD-00102,P028,1,1299,1299,116.91,1182.09,823.89,823.89,31
OI-00220,ORD-00102,P006,1,3499,3499,384.89,3114.11,2582.26,2582.26,42
OI-00221,ORD-00102,P031,2,2299,4598,275.88,4322.12,1424.23,2848.46,62
OI-00222,ORD-00103,P028,1,1299,1299,116.91,1182.09,823.89,823.89,31
OI-00223,ORD-00103,P056,1,449,449,24.7,424.3,250.99,250.99,16
OI-00224,ORD-00104,P023,1,999,999,104.9,894.1,503.5,503.5,24
OI-00225,ORD-00104,P030,1,849,849,72.17,776.83,513.43,513.43,31
OI-00226,ORD-00105,P026,1,549,549,32.94,516.06,332.01,332.01,31
OI-00227,ORD-00105,P021,1,999,999,109.89,889.11,479.52,479.52,24
OI-00228,ORD-00106,P015,1,1399,1399,153.89,1245.11,705.1,705.1,24
OI-00229,ORD-00106,P021,1,999,999,109.89,889.11,479.52,479.52,24
OI-00230,ORD-00107,P008,1,3499,3499,472.37,3026.63,2708.23,2708.23,42
OI-00231,ORD-00107,P017,2,1899,3798,474.75,3323.25,911.52,1823.04,48
OI-00232,ORD-00108,P055,1,449,449,6.74,442.26,245.15,245.15,16
OI-00233,ORD-00108,P011,1,1299,1299,129.9,1169.1,982.04,982.04,42
OI-00234,ORD-00108,P047,1,349,349,8.72,340.28,157.57,157.57,19
OI-00235,ORD-00109,P017,1,1899,1899,208.89,1690.11,911.52,911.52,24
OI-00236,ORD-00109,P027,1,849,849,59.43,789.57,525.96,525.96,31
OI-00237,ORD-00110,P035,1,1299,1299,162.38,1136.62,804.73,804.73,31
OI-00238,ORD-00110,P022,1,699,699,80.39,618.61,343.91,343.91,24
OI-00239,ORD-00111,P037,1,349,349,8.72,340.28,150.07,150.07,19
OI-00240,ORD-00111,P025,1,2299,2299,229.9,2069.1,1356.41,1356.41,31
OI-00241,ORD-00112,P040,1,1199,1199,77.94,1121.06,554.24,554.24,19
OI-00242,ORD-00112,P012,1,1299,1299,129.9,1169.1,1005.43,1005.43,42
OI-00243,ORD-00113,P001,1,3499,3499,367.4,3131.6,2904.17,2904.17,42
OI-00244,ORD-00113,P057,1,649,649,38.94,610.06,337.48,337.48,16
OI-00245,ORD-00114,P025,1,2299,2299,137.94,2161.06,1356.41,1356.41,31
OI-00246,ORD-00114,P060,1,649,649,22.72,626.28,362.79,362.79,16
OI-00247,ORD-00114,P008,1,3499,3499,209.94,3289.06,2708.23,2708.23,42
OI-00248,ORD-00115,P009,2,3499,6998,769.78,6228.22,2519.28,5038.56,84
OI-00249,ORD-00115,P058,1,649,649,22.72,626.28,345.92,345.92,16
OI-00250,ORD-00116,P039,1,1199,1199,119.9,1079.1,541.35,541.35,19
OI-00251,ORD-00116,P053,1,299,299,20.93,278.07,155.48,155.48,16
OI-00252,ORD-00117,P053,1,299,299,2.99,296.01,155.48,155.48,16
OI-00253,ORD-00117,P025,1,2299,2299,183.92,2115.08,1356.41,1356.41,31
OI-00254,ORD-00118,P001,1,3499,3499,209.94,3289.06,2904.17,2904.17,42
OI-00255,ORD-00118,P008,1,3499,3499,209.94,3289.06,2708.23,2708.23,42
OI-00256,ORD-00119,P002,1,2199,2199,274.88,1924.12,1838.36,1838.36,42
OI-00257,ORD-00119,P006,1,3499,3499,472.37,3026.63,2582.26,2582.26,42
OI-00258,ORD-00120,P033,2,2299,4598,459.8,4138.2,1356.41,2712.82,62
OI-00259,ORD-00120,P010,1,2199,2199,175.92,2023.08,1622.86,1622.86,42
OI-00260,ORD-00120,P055,1,449,449,11.23,437.77,245.15,245.15,16
OI-00261,ORD-00121,P039,1,1199,1199,89.92,1109.08,541.35,541.35,19
OI-00262,ORD-00121,P051,1,449,449,20.2,428.8,245.15,245.15,16
OI-00263,ORD-00122,P018,1,1899,1899,199.4,1699.6,934.31,934.31,24
OI-00264,ORD-00122,P042,2,899,1798,143.84,1654.16,396.23,792.46,38
OI-00265,ORD-00123,P022,2,699,1398,111.84,1286.16,343.91,687.82,48
OI-00266,ORD-00123,P016,1,1399,1399,125.91,1273.09,721.88,721.88,24
OI-00267,ORD-00124,P056,1,449,449,13.47,435.53,250.99,250.99,16
OI-00268,ORD-00124,P037,1,349,349,31.41,317.59,150.07,150.07,19
OI-00269,ORD-00125,P003,1,4999,4999,449.91,4549.09,4209.16,4209.16,42
OI-00270,ORD-00125,P046,1,599,599,44.92,554.08,264.01,264.01,19
OI-00271,ORD-00126,P038,2,599,1198,29.95,1168.05,264.01,528.02,38
OI-00272,ORD-00126,P038,1,599,599,20.96,578.04,264.01,264.01,19
OI-00273,ORD-00126,P020,1,1899,1899,113.94,1785.06,979.88,979.88,24
OI-00274,ORD-00127,P039,1,1199,1199,83.93,1115.07,541.35,541.35,19
OI-00275,ORD-00127,P009,1,3499,3499,472.37,3026.63,2519.28,2519.28,42
OI-00276,ORD-00128,P011,1,1299,1299,103.92,1195.08,982.04,982.04,42
OI-00277,ORD-00128,P044,1,1199,1199,65.95,1133.05,554.24,554.24,19
OI-00278,ORD-00129,P029,1,849,849,50.94,798.06,500.91,500.91,31
OI-00279,ORD-00129,P048,1,1199,1199,77.94,1121.06,554.24,554.24,19
OI-00280,ORD-00130,P027,1,849,849,97.64,751.36,525.96,525.96,31
OI-00281,ORD-00130,P014,1,1899,1899,237.38,1661.62,934.31,934.31,24
OI-00282,ORD-00131,P012,1,1299,1299,77.94,1221.06,1005.43,1005.43,42
OI-00283,ORD-00131,P025,1,2299,2299,183.92,2115.08,1356.41,1356.41,31
OI-00284,ORD-00132,P001,1,3499,3499,314.91,3184.09,2904.17,2904.17,42
OI-00285,ORD-00132,P057,1,649,649,35.7,613.3,337.48,337.48,16
OI-00286,ORD-00132,P037,1,349,349,26.18,322.82,150.07,150.07,19
OI-00287,ORD-00133,P057,1,649,649,45.43,603.57,337.48,337.48,16
OI-00288,ORD-00133,P016,1,1399,1399,188.87,1210.13,721.88,721.88,24
OI-00289,ORD-00134,P039,1,1199,1199,89.92,1109.08,541.35,541.35,19
OI-00290,ORD-00134,P041,1,899,899,58.44,840.56,386.57,386.57,19
OI-00291,ORD-00135,P040,1,1199,1199,89.92,1109.08,554.24,554.24,19
OI-00292,ORD-00135,P059,1,449,449,11.23,437.77,245.15,245.15,16
OI-00293,ORD-00136,P050,1,649,649,25.96,623.04,345.92,345.92,16
OI-00294,ORD-00136,P033,1,2299,2299,241.39,2057.61,1356.41,1356.41,31
OI-00295,ORD-00137,P022,1,699,699,48.93,650.07,343.91,343.91,24
OI-00296,ORD-00137,P022,1,699,699,41.94,657.06,343.91,343.91,24
OI-00297,ORD-00138,P027,1,849,849,76.41,772.59,525.96,525.96,31
OI-00298,ORD-00138,P033,1,2299,2299,137.94,2161.06,1356.41,1356.41,31
OI-00299,ORD-00138,P053,1,299,299,10.47,288.53,155.48,155.48,16
OI-00300,ORD-00139,P038,1,599,599,59.9,539.1,264.01,264.01,19
OI-00301,ORD-00139,P030,1,849,849,63.67,785.33,513.43,513.43,31
OI-00302,ORD-00140,P059,1,449,449,24.7,424.3,245.15,245.15,16
OI-00303,ORD-00140,P055,1,449,449,11.23,437.77,245.15,245.15,16
OI-00304,ORD-00141,P030,2,849,1698,135.84,1562.16,513.43,1026.86,62
OI-00305,ORD-00141,P016,1,1399,1399,153.89,1245.11,721.88,721.88,24
OI-00306,ORD-00142,P044,1,1199,1199,71.94,1127.06,554.24,554.24,19
OI-00307,ORD-00142,P012,1,1299,1299,110.42,1188.58,1005.43,1005.43,42
OI-00308,ORD-00143,P044,1,1199,1199,65.95,1133.05,554.24,554.24,19
OI-00309,ORD-00143,P014,1,1899,1899,151.92,1747.08,934.31,934.31,24
OI-00310,ORD-00144,P024,1,999,999,109.89,889.11,515.48,515.48,24
OI-00311,ORD-00144,P021,1,999,999,79.92,919.08,479.52,479.52,24
OI-00312,ORD-00144,P039,2,1199,2398,107.91,2290.09,541.35,1082.7,38
OI-00313,ORD-00145,P012,2,1299,2598,246.81,2351.19,1005.43,2010.86,84
OI-00314,ORD-00145,P043,1,1199,1199,83.93,1115.07,541.35,541.35,19
OI-00315,ORD-00146,P040,2,1199,2398,83.93,2314.07,554.24,1108.48,38
OI-00316,ORD-00146,P047,1,349,349,12.21,336.79,157.57,157.57,19
OI-00317,ORD-00147,P058,1,649,649,16.23,632.77,345.92,345.92,16
OI-00318,ORD-00147,P035,1,1299,1299,90.93,1208.07,804.73,804.73,31
OI-00319,ORD-00148,P008,1,3499,3499,297.42,3201.58,2708.23,2708.23,42
OI-00320,ORD-00148,P017,1,1899,1899,180.41,1718.59,911.52,911.52,24
OI-00321,ORD-00149,P040,1,1199,1199,89.92,1109.08,554.24,554.24,19
OI-00322,ORD-00149,P015,2,1399,2798,279.8,2518.2,705.1,1410.2,48
OI-00323,ORD-00150,P046,1,599,599,44.92,554.08,264.01,264.01,19
OI-00324,ORD-00150,P029,2,849,1698,152.82,1545.18,500.91,1001.82,62
OI-00325,ORD-00150,P023,2,999,1998,179.82,1818.18,503.5,1007,48
OI-00326,ORD-00151,P022,1,699,699,80.39,618.61,343.91,343.91,24
OI-00327,ORD-00151,P013,1,999,999,84.92,914.08,479.52,479.52,24
