return_id,order_item_id,return_date,return_reason,returned_quantity,refund_amount_inr,return_shipping_cost_inr
RET-0033,OI-00222,2026-05-07,Changed Mind,1,1182.09,56
RET-0034,OI-00085,2026-04-19,damaged,2,2448.25,59
RET-0035,OI-00954,2026-06-12,size issue,1,1071.68,38
RET-0036,OI-00633,2026-05-20,Damaged,1,1270.29,54
RET-0037,OI-01113,2026-07-01,size issue,2,3232.1,60
RET-0038,OI-01417,2026-08-04,changed mind ,1,1715.22,59
RET-0039,OI-00660,2026-06-13,Size Issue,1,772.59,55
RET-0040,OI-01701,2026-08-26,Changed Mind,2,1552.45,44
RET-0041,OI-00101,2026-04-24,damaged,1,798.06,66
RET-0042,OI-01543,2026-07-27,size issue,1,799.21,68
RET-0043,OI-00413,2026-06-12,size issue,1,616.55,50
RET-0044,OI-01733,2026-08-21,late delivery,1,1177.96,42
RET-0045,OI-02403,2026-10-03,damaged,1,1538.19,69
RET-0046,OI-02075,2026-09-27,Changed Mind,1,616.55,53
RET-0047,OI-01748,2026-09-03,Size Issue,1,1513.5,59
RET-0048,OI-01313,2026-07-20,damaged,1,873.13,38
RET-0049,OI-01893,2026-08-20,size issue,2,6848.63,68
RET-0050,OI-00342,2026-04-18,Changed Mind,1,1245.11,56
RET-0051,OI-01557,2026-07-26,changed mind ,1,1019.72,56
RET-0052,OI-02345,2026-09-19,Damaged,1,2379.32,43
RET-0053,OI-01776,2026-09-06,size issue,1,1541.99,42
RET-0054,OI-02276,2026-10-03,damaged,1,800.11,43
RET-0055,OI-01599,2026-08-22,damaged,1,1052.19,37
RET-0056,OI-02414,2026-10-04,size issue,1,2344.33,61
RET-0057,OI-01497,2026-08-20,changed mind ,1,1107.88,57
RET-0058,OI-00116,2026-05-02,Size Issue,2,8948.21,60
RET-0059,OI-01811,2026-08-31,Size Issue,1,2361.82,59
RET-0060,OI-01646,2026-09-17,changed mind ,1,1804.72,39
RET-0061,OI-00685,2026-06-11,Damaged,2,2182.32,48
RET-0062,OI-01084,2026-07-18,size issue,1,738.63,58
RET-0063,OI-02530,2026-10-08,changed mind ,1,3299.34,63
RET-0064,OI-02015,2026-08-29,Size Issue,1,796.2,56
RET-0065,OI-00486,2026-05-26,damaged,1,606.73,38
RET-0066,OI-00175,2026-05-17,changed mind ,2,649.14,44
RET-0067,OI-00314,2026-05-06,Late Delivery,1,1115.07,62
RET-0068,OI-00851,2026-06-20,changed mind ,2,1115.34,36
RET-0069,OI-01498,2026-08-14,changed mind ,2,911.34,58
RET-0070,OI-01391,2026-07-15,size issue,1,322.48,63
RET-0071,OI-01800,2026-09-06,size issue,1,2449.3,44
RET-0072,OI-01141,2026-08-01,Damaged,1,1143.85,42
RET-0073,OI-00431,2026-06-16,changed mind ,2,2338.2,62
RET-0074,OI-02099,2026-09-17,Size Issue,2,6398.72,53
RET-0075,OI-01706,2026-09-02,Changed Mind,1,439.2,63
RET-0076,OI-00057,2026-05-13,changed mind ,1,1690.11,70
RET-0077,OI-00423,2026-06-13,late delivery,1,4349.13,51
RET-0078,OI-02119,2026-09-27,Late Delivery,1,1039.2,44
RET-0079,OI-01290,2026-07-30,changed mind ,1,954.76,49
RET-0080,OI-01262,2026-07-31,Damaged,1,2764.21,38
RET-0081,OI-02042,2026-08-31,changed mind ,1,2554.27,36
RET-0082,OI-01806,2026-09-03,size issue,2,3197.92,59
RET-0083,OI-00229,2026-05-03,Changed Mind,1,889.11,41
RET-0084,OI-01334,2026-07-27,Changed Mind,1,1208.74,46
RET-0085,OI-00536,2026-05-31,late delivery,1,2000.13,51
RET-0086,OI-00980,2026-07-04,Size Issue,1,1931.16,64
RET-0087,OI-00447,2026-06-04,Size Issue,2,2456.64,42
RET-0088,OI-01342,2026-08-10,damaged,1,1627.26,37
RET-0089,OI-01970,2026-08-29,size issue,1,1627.26,64
RET-0090,OI-01094,2026-06-29,Late Delivery,1,1084.66,69
RET-0091,OI-01471,2026-08-07,late delivery,1,2659.24,51
RET-0092,OI-02040,2026-09-04,changed mind ,1,1156.97,36
RET-0093,OI-00384,2026-06-21,Changed Mind,1,825.28,42
RET-0094,OI-00073,2026-05-01,Late Delivery,1,1149.61,61
RET-0095,OI-02531,2026-09-22,size issue,1,1576.17,41
RET-0096,OI-01494,2026-07-27,size issue,1,419.81,61
RET-0097,OI-00529,2026-05-29,damaged,1,2034.62,55
RET-0098,OI-00429,2026-05-27,size issue,1,4174.16,51
RET-0099,OI-00239,2026-05-14,Size Issue,1,340.28,64
RET-0100,OI-02135,2026-10-01,size issue,1,3074.38,49
RET-0101,OI-00304,2026-05-09,Changed Mind,2,1562.16,69
RET-0102,OI-01111,2026-07-11,Late Delivery,1,730.14,57
RET-0103,OI-00569,2026-06-10,Size Issue,1,1648.33,63
RET-0104,OI-01880,2026-09-09,late delivery,1,863.83,57
RET-0105,OI-02505,2026-09-16,Changed Mind,1,2414.31,61
RET-0106,OI-02238,2026-10-04,Size Issue,1,2344.33,69
RET-0107,OI-00149,2026-05-13,Damaged,1,4424.12,42
RET-0108,OI-00706,2026-05-15,Damaged,1,1935.12,69
RET-0109,OI-02053,2026-08-31,late delivery,1,1598.96,59
RET-0110,OI-00725,2026-05-15,Damaged,1,613.3,68
RET-0111,OI-00297,2026-04-25,damaged,1,772.59,40
RET-0112,OI-01861,2026-09-06,size issue,1,687.69,38
RET-0113,OI-02377,2026-09-26,changed mind ,1,191.04,54
RET-0114,OI-01803,2026-09-06,Changed Mind,1,1087.02,64
RET-0115,OI-02148,2026-10-17,Late Delivery,2,2182.44,56
RET-0116,OI-02014,2026-09-06,Late Delivery,2,1572.43,69
RET-0117,OI-02229,2026-10-12,Size Issue,1,1026.21,38
RET-0118,OI-00097,2026-05-07,Late Delivery,1,1902.13,48
RET-0119,OI-02110,2026-09-24,damaged,2,2074.27,68
RET-0120,OI-01207,2026-08-14,Late Delivery,1,419.81,49
RET-0121,OI-02346,2026-09-25,Damaged,1,610.06,41
RET-0122,OI-01897,2026-09-03,Late Delivery,1,1065.18,41
RET-0123,OI-01291,2026-07-18,Size Issue,1,1117.8,55
RET-0124,OI-01845,2026-08-19,changed mind ,1,922.29,61
RET-0125,OI-01940,2026-08-25,Damaged,1,1078.17,56
RET-0126,OI-00680,2026-05-29,late delivery,1,1112.67,49
RET-0127,OI-01132,2026-06-23,Size Issue,1,1578.07,55
RET-0128,OI-02374,2026-10-12,late delivery,1,1495.32,38
RET-0129,OI-00488,2026-06-09,damaged,1,1143.12,58
RET-0130,OI-00278,2026-04-30,damaged,1,798.06,65
RET-0131,OI-01415,2026-07-25,damaged,1,961.26,39
RET-0132,OI-00755,2026-07-02,Changed Mind,1,2799.2,67
RET-0133,OI-02385,2026-09-20,damaged,1,422.73,40
RET-0134,OI-02332,2026-10-18,size issue,1,3399.32,46
RET-0135,OI-00900,2026-06-25,Late Delivery,1,483.12,48
RET-0136,OI-02532,2026-09-26,Damaged,1,3449.31,41
RET-0137,OI-00189,2026-05-10,late delivery,1,4549.09,68
RET-0138,OI-01180,2026-07-25,Damaged,2,3243.49,42
RET-0139,OI-00069,2026-05-09,late delivery,1,296.01,60
RET-0140,OI-01873,2026-08-23,Changed Mind,2,1332.93,50
RET-0141,OI-00732,2026-06-26,Damaged,1,1559.08,42
RET-0142,OI-00015,2026-05-13,late delivery,1,4474.1,64
RET-0143,OI-00558,2026-05-26,Late Delivery,1,1847.16,62
RET-0144,OI-00652,2026-06-06,late delivery,2,1099.76,70
RET-0145,OI-01319,2026-07-24,damaged,1,2589.26,35
RET-0146,OI-00054,2026-04-18,late delivery,1,3026.63,43
RET-0147,OI-00785,2026-07-10,late delivery,1,2834.19,66
RET-0148,OI-01633,2026-09-05,damaged,1,928.78,36
RET-0149,OI-00902,2026-07-10,Changed Mind,2,1189.7,59
RET-0150,OI-00932,2026-07-03,Damaged,1,2869.18,65
RET-0151,OI-00404,2026-05-28,changed mind ,2,1494.24,54
RET-0152,OI-00533,2026-05-20,changed mind ,1,747.12,64
RET-0153,OI-01453,2026-07-20,changed mind ,1,616.55,67
RET-0154,OI-02239,2026-10-17,changed mind ,1,1039.2,36
RET-0155,OI-00604,2026-06-05,Changed Mind,1,426.55,59
RET-0156,OI-00140,2026-04-26,Late Delivery,1,2161.06,44
RET-0157,OI-02360,2026-10-08,Late Delivery,1,2274.35,49
RET-0158,OI-00573,2026-06-03,Size Issue,1,759.86,54
RET-0159,OI-02354,2026-09-28,changed mind ,2,834.48,36
RET-0160,OI-00498,2026-05-12,Damaged,1,480.37,65
RET-0161,OI-00253,2026-04-27,late delivery,1,2115.08,52
RET-0162,OI-00211,2026-04-30,Damaged,1,1642.63,43
RET-0163,OI-01695,2026-08-27,size issue,2,4723.65,56
RET-0164,OI-00323,2026-05-08,damaged,1,554.08,41
RET-0165,OI-00236,2026-04-25,damaged,1,789.57,43
RET-0166,OI-02090,2026-09-21,size issue,1,1490.72,44
RET-0167,OI-02517,2026-09-19,Late Delivery,1,422.73,54
RET-0168,OI-01691,2026-08-20,Damaged,1,1045.69,47
RET-0169,OI-02322,2026-10-02,changed mind ,1,566.19,70
RET-0170,OI-01015,2026-07-06,Damaged,1,626.3,49
RET-0171,OI-02220,2026-10-10,Late Delivery,1,662.22,49
RET-0172,OI-00491,2026-05-24,size issue,1,4074.19,41
RET-0173,OI-01613,2026-08-15,changed mind ,1,2466.79,59
RET-0174,OI-01774,2026-08-19,changed mind ,1,1827.71,42
RET-0175,OI-00281,2026-05-08,damaged,1,1661.62,52
RET-0176,OI-01478,2026-07-30,Size Issue,1,3699.26,66
RET-0177,OI-00027,2026-05-05,changed mind ,1,1737.58,48
RET-0178,OI-00684,2026-05-27,Changed Mind,1,2974.15,69
RET-0179,OI-01394,2026-07-15,Damaged,1,873.13,44
RET-0180,OI-00184,2026-04-24,size issue,1,789.57,64
RET-0181,OI-01626,2026-08-21,damaged,1,786.21,63
RET-0182,OI-02013,2026-08-31,Changed Mind,1,422.06,38
RET-0183,OI-00301,2026-04-30,Size Issue,1,785.33,62
RET-0184,OI-00944,2026-06-20,Damaged,1,875.12,59
RET-0185,OI-00355,2026-06-02,Late Delivery,1,3044.13,36
RET-0186,OI-00223,2026-05-11,changed mind ,1,424.3,63
RET-0187,OI-00045,2026-05-04,Late Delivery,2,2364.18,65
RET-0188,OI-01049,2026-07-06,Damaged,1,1074.3,48
RET-0189,OI-01764,2026-09-15,Late Delivery,1,687.69,53
RET-0190,OI-00425,2026-05-12,size issue,1,1169.1,65
RET-0191,OI-00059,2026-04-21,size issue,1,845.06,47
RET-0192,OI-02454,2026-10-01,late delivery,1,1724.25,39
RET-0193,OI-01264,2026-07-18,Changed Mind,1,452.93,63
RET-0194,OI-02362,2026-09-30,damaged,1,1070.24,68
RET-0195,OI-00791,2026-07-05,Size Issue,1,1065.18,50
RET-0196,OI-01615,2026-08-14,Size Issue,1,1191.95,49
RET-0197,OI-01216,2026-07-29,size issue,1,1621.75,39
RET-0198,OI-02125,2026-10-04,Late Delivery,1,2274.35,41
RET-0199,OI-02022,2026-09-14,damaged,2,3254.52,37
RET-0200,OI-01431,2026-07-17,Late Delivery,1,1208.74,60
