customer_id,acquisition_month,acquisition_channel,customer_segment,city_tier
C0057,2025-10,Marketplace,Value Seekers,Tier 1
C0058,2024-11,Organic,Core Shoppers,Tier 2
C0059,2025-12,Marketplace,Premium Planners,Tier 3
C0060,2024-01,Marketplace,Value Seekers,Tier 1
C0061,2025-02,Social,Core Shoppers,Tier 2
C0062,2024-03,Organic,Premium Planners,Tier 3
C0063,2025-04,Organic,Value Seekers,Tier 1
C0064,2024-05,Referral,Core Shoppers,Tier 2
C0065,2025-06,Social,Premium Planners,Tier 3
C0066,2024-07,Organic,Value Seekers,Tier 1
C0067,2025-08,Search,Core Shoppers,Tier 2
C0068,2024-09,Social,Premium Planners,Tier 3
C0069,2025-10,Social,Value Seekers,Tier 1
C0070,2024-11,Referral,Core Shoppers,Tier 2
C0071,2025-12,Marketplace,Premium Planners,Tier 3
C0072,2024-01,Referral,Value Seekers,Tier 1
C0073,2025-02,Marketplace,Core Shoppers,Tier 2
C0074,2024-03,Referral,Premium Planners,Tier 3
C0075,2025-04,Marketplace,Value Seekers,Tier 1
C0076,2024-05,Marketplace,Core Shoppers,Tier 2
C0077,2025-06,Referral,Premium Planners,Tier 3
C0078,2024-07,Marketplace,Value Seekers,Tier 1
C0079,2025-08,Search,Core Shoppers,Tier 2
C0080,2024-09,Social,Premium Planners,Tier 3
C0081,2025-10,Marketplace,Value Seekers,Tier 1
C0082,2024-11,Search,Core Shoppers,Tier 2
C0083,2025-12,Referral,Premium Planners,Tier 3
C0084,2024-01,Social,Value Seekers,Tier 1
C0085,2025-02,Referral,Core Shoppers,Tier 2
C0086,2024-03,Social,Premium Planners,Tier 3
C0087,2025-04,Organic,Value Seekers,Tier 1
C0088,2024-05,Referral,Core Shoppers,Tier 2
C0089,2025-06,Referral,Premium Planners,Tier 3
C0090,2024-07,Search,Value Seekers,Tier 1
C0091,2025-08,Organic,Core Shoppers,Tier 2
C0092,2024-09,Marketplace,Premium Planners,Tier 3
C0093,2025-10,Social,Value Seekers,Tier 1
C0094,2024-11,Organic,Core Shoppers,Tier 2
C0095,2025-12,Organic,Premium Planners,Tier 3
C0096,2024-01,Social,Value Seekers,Tier 1
C0097,2025-02,Marketplace,Core Shoppers,Tier 2
C0098,2024-03,Marketplace,Premium Planners,Tier 3
C0099,2025-04,Search,Value Seekers,Tier 1
C0100,2024-05,Search,Core Shoppers,Tier 2
C0101,2025-06,Social,Premium Planners,Tier 3
C0102,2024-07,Search,Value Seekers,Tier 1
C0103,2025-08,Search,Core Shoppers,Tier 2
C0104,2024-09,Marketplace,Premium Planners,Tier 3
C0105,2025-10,Marketplace,Value Seekers,Tier 1
C0106,2024-11,Referral,Core Shoppers,Tier 2
C0107,2025-12,Referral,Premium Planners,Tier 3
C0108,2024-01,Search,Value Seekers,Tier 1
C0109,2025-02,Search,Core Shoppers,Tier 2
C0110,2024-03,Search,Premium Planners,Tier 3
C0111,2025-04,Social,Value Seekers,Tier 1
C0112,2024-05,Referral,Core Shoppers,Tier 2
C0113,2025-06,Social,Premium Planners,Tier 3
C0114,2024-07,Search,Value Seekers,Tier 1
C0115,2025-08,Social,Core Shoppers,Tier 2
C0116,2024-09,Referral,Premium Planners,Tier 3
C0117,2025-10,Social,Value Seekers,Tier 1
C0118,2024-11,Search,Core Shoppers,Tier 2
C0119,2025-12,Referral,Premium Planners,Tier 3
C0120,2024-01,Organic,Value Seekers,Tier 1
C0121,2025-02,Referral,Core Shoppers,Tier 2
C0122,2024-03,Search,Premium Planners,Tier 3
C0123,2025-04,Marketplace,Value Seekers,Tier 1
C0124,2024-05,Social,Core Shoppers,Tier 2
C0125,2025-06,Marketplace,Premium Planners,Tier 3
C0126,2024-07,Organic,Value Seekers,Tier 1
C0127,2025-08,Marketplace,Core Shoppers,Tier 2
C0128,2024-09,Social,Premium Planners,Tier 3
C0129,2025-10,Social,Value Seekers,Tier 1
C0130,2024-11,Organic,Core Shoppers,Tier 2
C0131,2025-12,Referral,Premium Planners,Tier 3
C0132,2024-01,Organic,Value Seekers,Tier 1
C0133,2025-02,Referral,Core Shoppers,Tier 2
C0134,2024-03,Organic,Premium Planners,Tier 3
C0135,2025-04,Referral,Value Seekers,Tier 1
C0136,2024-05,Referral,Core Shoppers,Tier 2
C0137,2025-06,Marketplace,Premium Planners,Tier 3
C0138,2024-07,Social,Value Seekers,Tier 1
C0139,2025-08,Search,Core Shoppers,Tier 2
C0140,2024-09,Marketplace,Premium Planners,Tier 3
C0141,2025-10,Search,Value Seekers,Tier 1
C0142,2024-11,Organic,Core Shoppers,Tier 2
C0143,2025-12,Organic,Premium Planners,Tier 3
C0144,2024-01,Organic,Value Seekers,Tier 1
C0145,2025-02,Social,Core Shoppers,Tier 2
C0146,2024-03,Referral,Premium Planners,Tier 3
C0147,2025-04,Marketplace,Value Seekers,Tier 1
C0148,2024-05,Referral,Core Shoppers,Tier 2
C0149,2025-06,Referral,Premium Planners,Tier 3
C0150,2024-07,Referral,Value Seekers,Tier 1
C0151,2025-08,Marketplace,Core Shoppers,Tier 2
C0152,2024-09,Search,Premium Planners,Tier 3
C0153,2025-10,Marketplace,Value Seekers,Tier 1
C0154,2024-11,Marketplace,Core Shoppers,Tier 2
C0155,2025-12,Social,Premium Planners,Tier 3
C0156,2024-01,Organic,Value Seekers,Tier 1
C0157,2025-02,Referral,Core Shoppers,Tier 2
C0158,2024-03,Referral,Premium Planners,Tier 3
C0159,2025-04,Search,Value Seekers,Tier 1
C0160,2024-05,Social,Core Shoppers,Tier 2
C0161,2025-06,Search,Premium Planners,Tier 3
C0162,2024-07,Organic,Value Seekers,Tier 1
C0163,2025-08,Referral,Core Shoppers,Tier 2
C0164,2024-09,Marketplace,Premium Planners,Tier 3
C0165,2025-10,Marketplace,Value Seekers,Tier 1
C0166,2024-11,Social,Core Shoppers,Tier 2
C0167,2025-12,Referral,Premium Planners,Tier 3
C0168,2024-01,Referral,Value Seekers,Tier 1
C0169,2025-02,Marketplace,Core Shoppers,Tier 2
C0170,2024-03,Social,Premium Planners,Tier 3
C0171,2025-04,Organic,Value Seekers,Tier 1
C0172,2024-05,Referral,Core Shoppers,Tier 2
C0173,2025-06,Marketplace,Premium Planners,Tier 3
C0174,2024-07,Organic,Value Seekers,Tier 1
C0175,2025-08,Referral,Core Shoppers,Tier 2
C0176,2024-09,Organic,Premium Planners,Tier 3
C0177,2025-10,Marketplace,Value Seekers,Tier 1
C0178,2024-11,Marketplace,Core Shoppers,Tier 2
C0179,2025-12,Referral,Premium Planners,Tier 3
C0180,2024-01,Referral,Value Seekers,Tier 1
C0181,2025-02,Organic,Core Shoppers,Tier 2
C0182,2024-03,Social,Premium Planners,Tier 3
C0183,2025-04,Marketplace,Value Seekers,Tier 1
C0184,2024-05,Marketplace,Core Shoppers,Tier 2
C0185,2025-06,Referral,Premium Planners,Tier 3
C0186,2024-07,Referral,Value Seekers,Tier 1
C0187,2025-08,Social,Core Shoppers,Tier 2
C0188,2024-09,Referral,Premium Planners,Tier 3
C0189,2025-10,Referral,Value Seekers,Tier 1
C0190,2024-11,Referral,Core Shoppers,Tier 2
C0191,2025-12,Organic,Premium Planners,Tier 3
C0192,2024-01,Social,Value Seekers,Tier 1
C0193,2025-02,Marketplace,Core Shoppers,Tier 2
C0194,2024-03,Search,Premium Planners,Tier 3
C0195,2025-04,Social,Value Seekers,Tier 1
C0196,2024-05,Social,Core Shoppers,Tier 2
C0197,2025-06,Social,Premium Planners,Tier 3
C0198,2024-07,Social,Value Seekers,Tier 1
C0199,2025-08,Organic,Core Shoppers,Tier 2
C0200,2024-09,Organic,Premium Planners,Tier 3
C0201,2025-10,Organic,Value Seekers,Tier 1
C0202,2024-11,Search,Core Shoppers,Tier 2
C0203,2025-12,Referral,Premium Planners,Tier 3
C0204,2024-01,Social,Value Seekers,Tier 1
C0205,2025-02,Social,Core Shoppers,Tier 2
C0206,2024-03,Search,Premium Planners,Tier 3
C0207,2025-04,Referral,Value Seekers,Tier 1
C0208,2024-05,Search,Core Shoppers,Tier 2
C0209,2025-06,Marketplace,Premium Planners,Tier 3
C0210,2024-07,Social,Value Seekers,Tier 1
C0211,2025-08,Referral,Core Shoppers,Tier 2
C0212,2024-09,Search,Premium Planners,Tier 3
C0213,2025-10,Marketplace,Value Seekers,Tier 1
C0214,2024-11,Marketplace,Core Shoppers,Tier 2
C0215,2025-12,Organic,Premium Planners,Tier 3
C0216,2024-01,Organic,Value Seekers,Tier 1
C0217,2025-02,Organic,Core Shoppers,Tier 2
C0218,2024-03,Social,Premium Planners,Tier 3
C0219,2025-04,Referral,Value Seekers,Tier 1
C0220,2024-05,Marketplace,Core Shoppers,Tier 2
C0221,2025-06,Marketplace,Premium Planners,Tier 3
C0222,2024-07,Organic,Value Seekers,Tier 1
C0223,2025-08,Search,Core Shoppers,Tier 2
C0224,2024-09,Organic,Premium Planners,Tier 3
C0225,2025-10,Marketplace,Value Seekers,Tier 1
C0226,2024-11,Organic,Core Shoppers,Tier 2
C0227,2025-12,Search,Premium Planners,Tier 3
C0228,2024-01,Marketplace,Value Seekers,Tier 1
C0229,2025-02,Referral,Core Shoppers,Tier 2
C0230,2024-03,Search,Premium Planners,Tier 3
C0231,2025-04,Social,Value Seekers,Tier 1
C0232,2024-05,Marketplace,Core Shoppers,Tier 2
C0233,2025-06,Referral,Premium Planners,Tier 3
C0234,2024-07,Social,Value Seekers,Tier 1
C0235,2025-08,Social,Core Shoppers,Tier 2
C0236,2024-09,Organic,Premium Planners,Tier 3
C0237,2025-10,Organic,Value Seekers,Tier 1
C0238,2024-11,Search,Core Shoppers,Tier 2
C0239,2025-12,Marketplace,Premium Planners,Tier 3
C0240,2024-01,Marketplace,Value Seekers,Tier 1
C0241,2025-02,Marketplace,Core Shoppers,Tier 2
C0242,2024-03,Organic,Premium Planners,Tier 3
C0243,2025-04,Organic,Value Seekers,Tier 1
C0244,2024-05,Referral,Core Shoppers,Tier 2
C0245,2025-06,Marketplace,Premium Planners,Tier 3
C0246,2024-07,Marketplace,Value Seekers,Tier 1
C0247,2025-08,Organic,Core Shoppers,Tier 2
C0248,2024-09,Marketplace,Premium Planners,Tier 3
C0249,2025-10,Organic,Value Seekers,Tier 1
C0250,2024-11,Referral,Core Shoppers,Tier 2
C0251,2025-12,Search,Premium Planners,Tier 3
C0252,2024-01,Social,Value Seekers,Tier 1
C0253,2025-02,Marketplace,Core Shoppers,Tier 2
C0254,2024-03,Social,Premium Planners,Tier 3
C0255,2025-04,Search,Value Seekers,Tier 1
C0256,2024-05,Search,Core Shoppers,Tier 2
C0257,2025-06,Marketplace,Premium Planners,Tier 3
C0258,2024-07,Search,Value Seekers,Tier 1
C0259,2025-08,Social,Core Shoppers,Tier 2
C0260,2024-09,Organic,Premium Planners,Tier 3
C0261,2025-10,Search,Value Seekers,Tier 1
C0262,2024-11,Social,Core Shoppers,Tier 2
C0263,2025-12,Organic,Premium Planners,Tier 3
C0264,2024-01,Search,Value Seekers,Tier 1
C0265,2025-02,Social,Core Shoppers,Tier 2
C0266,2024-03,Social,Premium Planners,Tier 3
C0267,2025-04,Organic,Value Seekers,Tier 1
C0268,2024-05,Organic,Core Shoppers,Tier 2
C0269,2025-06,Marketplace,Premium Planners,Tier 3
C0270,2024-07,Organic,Value Seekers,Tier 1
C0271,2025-08,Search,Core Shoppers,Tier 2
C0272,2024-09,Referral,Premium Planners,Tier 3
C0273,2025-10,Referral,Value Seekers,Tier 1
C0274,2024-11,Referral,Core Shoppers,Tier 2
C0275,2025-12,Organic,Premium Planners,Tier 3
C0276,2024-01,Organic,Value Seekers,Tier 1
C0277,2025-02,Organic,Core Shoppers,Tier 2
C0278,2024-03,Organic,Premium Planners,Tier 3
C0279,2025-04,Organic,Value Seekers,Tier 1
C0280,2024-05,Marketplace,Core Shoppers,Tier 2
C0281,2025-06,Referral,Premium Planners,Tier 3
C0282,2024-07,Social,Value Seekers,Tier 1
C0283,2025-08,Marketplace,Core Shoppers,Tier 2
C0284,2024-09,Organic,Premium Planners,Tier 3
C0285,2025-10,Marketplace,Value Seekers,Tier 1
C0286,2024-11,Social,Core Shoppers,Tier 2
C0287,2025-12,Social,Premium Planners,Tier 3
C0288,2024-01,Marketplace,Value Seekers,Tier 1
C0289,2025-02,Search,Core Shoppers,Tier 2
C0290,2024-03,Referral,Premium Planners,Tier 3
C0291,2025-04,Social,Value Seekers,Tier 1
C0292,2024-05,Organic,Core Shoppers,Tier 2
C0293,2025-06,Social,Premium Planners,Tier 3
C0294,2024-07,Search,Value Seekers,Tier 1
C0295,2025-08,Referral,Core Shoppers,Tier 2
C0296,2024-09,Organic,Premium Planners,Tier 3
C0297,2025-10,Organic,Value Seekers,Tier 1
C0298,2024-11,Social,Core Shoppers,Tier 2
C0299,2025-12,Social,Premium Planners,Tier 3
C0300,2024-01,Marketplace,Value Seekers,Tier 1
C0301,2025-02,Search,Core Shoppers,Tier 2
C0302,2024-03,Social,Premium Planners,Tier 3
C0303,2025-04,Marketplace,Value Seekers,Tier 1
C0304,2024-05,Marketplace,Core Shoppers,Tier 2
C0305,2025-06,Social,Premium Planners,Tier 3
C0306,2024-07,Marketplace,Value Seekers,Tier 1
C0307,2025-08,Referral,Core Shoppers,Tier 2
C0308,2024-09,Referral,Premium Planners,Tier 3
C0309,2025-10,Organic,Value Seekers,Tier 1
C0310,2024-11,Referral,Core Shoppers,Tier 2
C0311,2025-12,Referral,Premium Planners,Tier 3
C0312,2024-01,Marketplace,Value Seekers,Tier 1
C0313,2025-02,Search,Core Shoppers,Tier 2
C0314,2024-03,Social,Premium Planners,Tier 3
C0315,2025-04,Social,Value Seekers,Tier 1
C0316,2024-05,Referral,Core Shoppers,Tier 2
C0317,2025-06,Organic,Premium Planners,Tier 3
C0318,2024-07,Search,Value Seekers,Tier 1
C0319,2025-08,Organic,Core Shoppers,Tier 2
C0320,2024-09,Search,Premium Planners,Tier 3
C0321,2025-10,Referral,Value Seekers,Tier 1
C0322,2024-11,Social,Core Shoppers,Tier 2
C0323,2025-12,Search,Premium Planners,Tier 3
C0324,2024-01,Referral,Value Seekers,Tier 1
C0325,2025-02,Social,Core Shoppers,Tier 2
C0326,2024-03,Referral,Premium Planners,Tier 3
C0327,2025-04,Social,Value Seekers,Tier 1
C0328,2024-05,Referral,Core Shoppers,Tier 2
C0329,2025-06,Social,Premium Planners,Tier 3
C0330,2024-07,Search,Value Seekers,Tier 1
C0331,2025-08,Search,Core Shoppers,Tier 2
C0332,2024-09,Organic,Premium Planners,Tier 3
C0333,2025-10,Organic,Value Seekers,Tier 1
C0334,2024-11,Organic,Core Shoppers,Tier 2
C0335,2025-12,Search,Premium Planners,Tier 3
C0336,2024-01,Social,Value Seekers,Tier 1
C0337,2025-02,Marketplace,Core Shoppers,Tier 2
C0338,2024-03,Organic,Premium Planners,Tier 3
C0339,2025-04,Social,Value Seekers,Tier 1
C0340,2024-05,Social,Core Shoppers,Tier 2
C0341,2025-06,Organic,Premium Planners,Tier 3
C0342,2024-07,Organic,Value Seekers,Tier 1
C0343,2025-08,Marketplace,Core Shoppers,Tier 2
C0344,2024-09,Social,Premium Planners,Tier 3
C0345,2025-10,Organic,Value Seekers,Tier 1
C0346,2024-11,Search,Core Shoppers,Tier 2
C0347,2025-12,Marketplace,Premium Planners,Tier 3
C0348,2024-01,Organic,Value Seekers,Tier 1
C0349,2025-02,Organic,Core Shoppers,Tier 2
C0350,2024-03,Search,Premium Planners,Tier 3
C0351,2025-04,Search,Value Seekers,Tier 1
C0352,2024-05,Marketplace,Core Shoppers,Tier 2
C0353,2025-06,Social,Premium Planners,Tier 3
C0354,2024-07,Search,Value Seekers,Tier 1
C0355,2025-08,Marketplace,Core Shoppers,Tier 2
C0356,2024-09,Organic,Premium Planners,Tier 3
C0357,2025-10,Social,Value Seekers,Tier 1
C0358,2024-11,Marketplace,Core Shoppers,Tier 2
C0359,2025-12,Social,Premium Planners,Tier 3
C0360,2024-01,Social,Value Seekers,Tier 1
C0361,2025-02,Search,Core Shoppers,Tier 2
C0362,2024-03,Marketplace,Premium Planners,Tier 3
C0363,2025-04,Marketplace,Value Seekers,Tier 1
C0364,2024-05,Search,Core Shoppers,Tier 2
C0365,2025-06,Organic,Premium Planners,Tier 3
C0366,2024-07,Organic,Value Seekers,Tier 1
C0367,2025-08,Marketplace,Core Shoppers,Tier 2
C0368,2024-09,Organic,Premium Planners,Tier 3
C0369,2025-10,Referral,Value Seekers,Tier 1
C0370,2024-11,Search,Core Shoppers,Tier 2
C0371,2025-12,Social,Premium Planners,Tier 3
C0372,2024-01,Referral,Value Seekers,Tier 1
C0373,2025-02,Organic,Core Shoppers,Tier 2
C0374,2024-03,Organic,Premium Planners,Tier 3
C0375,2025-04,Social,Value Seekers,Tier 1
C0376,2024-05,Organic,Core Shoppers,Tier 2
C0377,2025-06,Referral,Premium Planners,Tier 3
C0378,2024-07,Marketplace,Value Seekers,Tier 1
C0379,2025-08,Organic,Core Shoppers,Tier 2
C0380,2024-09,Social,Premium Planners,Tier 3
C0381,2025-10,Organic,Value Seekers,Tier 1
C0382,2024-11,Search,Core Shoppers,Tier 2
C0383,2025-12,Social,Premium Planners,Tier 3
C0384,2024-01,Search,Value Seekers,Tier 1
C0385,2025-02,Search,Core Shoppers,Tier 2
C0386,2024-03,Search,Premium Planners,Tier 3
C0387,2025-04,Search,Value Seekers,Tier 1
C0388,2024-05,Referral,Core Shoppers,Tier 2
C0389,2025-06,Organic,Premium Planners,Tier 3
C0390,2024-07,Social,Value Seekers,Tier 1
C0391,2025-08,Social,Core Shoppers,Tier 2
C0392,2024-09,Marketplace,Premium Planners,Tier 3
C0393,2025-10,Search,Value Seekers,Tier 1
C0394,2024-11,Referral,Core Shoppers,Tier 2
C0395,2025-12,Marketplace,Premium Planners,Tier 3
C0396,2024-01,Social,Value Seekers,Tier 1
C0397,2025-02,Referral,Core Shoppers,Tier 2
C0398,2024-03,Marketplace,Premium Planners,Tier 3
C0399,2025-04,Organic,Value Seekers,Tier 1
C0400,2024-05,Referral,Core Shoppers,Tier 2
C0401,2025-06,Referral,Premium Planners,Tier 3
C0402,2024-07,Referral,Value Seekers,Tier 1
C0403,2025-08,Referral,Core Shoppers,Tier 2
C0404,2024-09,Marketplace,Premium Planners,Tier 3
C0405,2025-10,Referral,Value Seekers,Tier 1
C0406,2024-11,Marketplace,Core Shoppers,Tier 2
C0407,2025-12,Organic,Premium Planners,Tier 3
C0408,2024-01,Search,Value Seekers,Tier 1
C0409,2025-02,Search,Core Shoppers,Tier 2
C0410,2024-03,Marketplace,Premium Planners,Tier 3
C0411,2025-04,Organic,Value Seekers,Tier 1
C0412,2024-05,Organic,Core Shoppers,Tier 2
C0413,2025-06,Social,Premium Planners,Tier 3
C0414,2024-07,Organic,Value Seekers,Tier 1
C0415,2025-08,Referral,Core Shoppers,Tier 2
C0416,2024-09,Organic,Premium Planners,Tier 3
C0417,2025-10,Social,Value Seekers,Tier 1
C0418,2024-11,Referral,Core Shoppers,Tier 2
C0419,2025-12,Organic,Premium Planners,Tier 3
C0420,2024-01,Organic,Value Seekers,Tier 1
C0421,2025-02,Social,Core Shoppers,Tier 2
C0422,2024-03,Marketplace,Premium Planners,Tier 3
C0423,2025-04,Search,Value Seekers,Tier 1
C0424,2024-05,Search,Core Shoppers,Tier 2
C0425,2025-06,Referral,Premium Planners,Tier 3
C0426,2024-07,Search,Value Seekers,Tier 1
C0427,2025-08,Marketplace,Core Shoppers,Tier 2
C0428,2024-09,Search,Premium Planners,Tier 3
C0429,2025-10,Social,Value Seekers,Tier 1
C0430,2024-11,Social,Core Shoppers,Tier 2
C0431,2025-12,Organic,Premium Planners,Tier 3
C0432,2024-01,Referral,Value Seekers,Tier 1
C0433,2025-02,Organic,Core Shoppers,Tier 2
C0434,2024-03,Organic,Premium Planners,Tier 3
C0435,2025-04,Referral,Value Seekers,Tier 1
C0436,2024-05,Referral,Core Shoppers,Tier 2
C0437,2025-06,Marketplace,Premium Planners,Tier 3
C0438,2024-07,Search,Value Seekers,Tier 1
C0439,2025-08,Social,Core Shoppers,Tier 2
C0440,2024-09,Marketplace,Premium Planners,Tier 3
C0441,2025-10,Social,Value Seekers,Tier 1
C0442,2024-11,Social,Core Shoppers,Tier 2
C0443,2025-12,Search,Premium Planners,Tier 3
C0444,2024-01,Organic,Value Seekers,Tier 1
C0445,2025-02,Social,Core Shoppers,Tier 2
C0446,2024-03,Search,Premium Planners,Tier 3
C0447,2025-04,Social,Value Seekers,Tier 1
C0448,2024-05,Search,Core Shoppers,Tier 2
C0449,2025-06,Organic,Premium Planners,Tier 3
C0450,2024-07,Organic,Value Seekers,Tier 1
C0451,2025-08,Referral,Core Shoppers,Tier 2
C0452,2024-09,Social,Premium Planners,Tier 3
C0453,2025-10,Referral,Value Seekers,Tier 1
C0454,2024-11,Organic,Core Shoppers,Tier 2
C0455,2025-12,Social,Premium Planners,Tier 3
C0456,2024-01,Social,Value Seekers,Tier 1
C0457,2025-02,Search,Core Shoppers,Tier 2
C0458,2024-03,Search,Premium Planners,Tier 3
C0459,2025-04,Marketplace,Value Seekers,Tier 1
C0460,2024-05,Marketplace,Core Shoppers,Tier 2
C0461,2025-06,Referral,Premium Planners,Tier 3
C0462,2024-07,Search,Value Seekers,Tier 1
C0463,2025-08,Social,Core Shoppers,Tier 2
C0464,2024-09,Social,Premium Planners,Tier 3
C0465,2025-10,Marketplace,Value Seekers,Tier 1
C0466,2024-11,Marketplace,Core Shoppers,Tier 2
C0467,2025-12,Marketplace,Premium Planners,Tier 3
C0468,2024-01,Organic,Value Seekers,Tier 1
C0469,2025-02,Search,Core Shoppers,Tier 2
C0470,2024-03,Marketplace,Premium Planners,Tier 3
C0471,2025-04,Social,Value Seekers,Tier 1
C0472,2024-05,Marketplace,Core Shoppers,Tier 2
C0473,2025-06,Search,Premium Planners,Tier 3
C0474,2024-07,Search,Value Seekers,Tier 1
C0475,2025-08,Search,Core Shoppers,Tier 2
C0476,2024-09,Marketplace,Premium Planners,Tier 3
C0477,2025-10,Referral,Value Seekers,Tier 1
C0478,2024-11,Marketplace,Core Shoppers,Tier 2
C0479,2025-12,Search,Premium Planners,Tier 3
C0480,2024-01,Organic,Value Seekers,Tier 1
C0481,2025-02,Referral,Core Shoppers,Tier 2
C0482,2024-03,Referral,Premium Planners,Tier 3
C0483,2025-04,Organic,Value Seekers,Tier 1
C0484,2024-05,Social,Core Shoppers,Tier 2
C0485,2025-06,Search,Premium Planners,Tier 3
C0486,2024-07,Search,Value Seekers,Tier 1
C0487,2025-08,Organic,Core Shoppers,Tier 2
C0488,2024-09,Search,Premium Planners,Tier 3
C0489,2025-10,Search,Value Seekers,Tier 1
C0490,2024-11,Search,Core Shoppers,Tier 2
C0491,2025-12,Organic,Premium Planners,Tier 3
C0492,2024-01,Social,Value Seekers,Tier 1
C0493,2025-02,Search,Core Shoppers,Tier 2
C0494,2024-03,Referral,Premium Planners,Tier 3
C0495,2025-04,Organic,Value Seekers,Tier 1
C0496,2024-05,Organic,Core Shoppers,Tier 2
C0497,2025-06,Search,Premium Planners,Tier 3
C0498,2024-07,Marketplace,Value Seekers,Tier 1
C0499,2025-08,Social,Core Shoppers,Tier 2
C0500,2024-09,Search,Premium Planners,Tier 3
C0501,2025-10,Marketplace,Value Seekers,Tier 1
C0502,2024-11,Referral,Core Shoppers,Tier 2
C0503,2025-12,Referral,Premium Planners,Tier 3
C0504,2024-01,Organic,Value Seekers,Tier 1
C0505,2025-02,Search,Core Shoppers,Tier 2
C0506,2024-03,Organic,Premium Planners,Tier 3
C0507,2025-04,Referral,Value Seekers,Tier 1
C0508,2024-05,Marketplace,Core Shoppers,Tier 2
C0509,2025-06,Referral,Premium Planners,Tier 3
C0510,2024-07,Search,Value Seekers,Tier 1
C0511,2025-08,Referral,Core Shoppers,Tier 2
C0512,2024-09,Referral,Premium Planners,Tier 3
C0513,2025-10,Organic,Value Seekers,Tier 1
C0514,2024-11,Organic,Core Shoppers,Tier 2
C0515,2025-12,Social,Premium Planners,Tier 3
C0516,2024-01,Search,Value Seekers,Tier 1
C0517,2025-02,Search,Core Shoppers,Tier 2
C0518,2024-03,Search,Premium Planners,Tier 3
C0519,2025-04,Social,Value Seekers,Tier 1
C0520,2024-05,Search,Core Shoppers,Tier 2
C0521,2025-06,Organic,Premium Planners,Tier 3
C0522,2024-07,Social,Value Seekers,Tier 1
C0523,2025-08,Organic,Core Shoppers,Tier 2
C0524,2024-09,Search,Premium Planners,Tier 3
C0525,2025-10,Social,Value Seekers,Tier 1
C0526,2024-11,Marketplace,Core Shoppers,Tier 2
C0527,2025-12,Marketplace,Premium Planners,Tier 3
C0528,2024-01,Social,Value Seekers,Tier 1
C0529,2025-02,Marketplace,Core Shoppers,Tier 2
